timestamp,strategy,side,trade_price,best_bid,best_ask,b_hat,a_hat,Q,cash,pnl
1767082884.6304402,BASELINE,BUY,180,175,180,172.5,182.5,1,-180.0,-2.5
1767082884.6600027,BASELINE,BUY,480,475,480,472.5,482.5,2,-660.0,295.0
1767082884.6639962,BASELINE,BUY,575,570,575,567.5,577.5,3,-1235.0,482.5
1767082884.688171,BASELINE,BUY,105,100,105,97.5,107.5,4,-1340.0,-930.0
1767082884.692165,BASELINE,BUY,1130,1120,1130,1120.0,1130.0,5,-2470.0,3155.0
1767082884.7001522,BASELINE,BUY,100,95,100,92.5,102.5,6,-2570.0,-1985.0
1767082884.7041454,BASELINE,BUY,220,215,220,212.5,222.5,7,-2790.0,-1267.5
1767082884.7081387,BASELINE,BUY,100,95,100,92.5,102.5,8,-2890.0,-2110.0
1767082884.7121341,BASELINE,BUY,270,265,270,262.5,272.5,9,-3160.0,-752.5
1767082884.7181232,BASELINE,BUY,530,525,530,522.5,532.5,10,-3690.0,1585.0
1767086077.5420175,BASELINE,BUY,160,155,160,152.5,162.5,1,-160.0,-2.5
1767086077.5669782,BASELINE,BUY,435,430,435,427.5,437.5,2,-595.0,270.0
1767086077.5689747,BASELINE,BUY,530,525,530,522.5,532.5,3,-1125.0,457.5
1767086077.5699768,BASELINE,BUY,100,95,100,92.5,102.5,4,-1225.0,-835.0
1767086077.571969,BASELINE,BUY,1085,1080,1085,1077.5,1087.5,5,-2310.0,3102.5
1767086077.5729685,BASELINE,BUY,110,105,110,102.5,112.5,6,-2420.0,-1775.0
1767086077.5749645,BASELINE,BUY,185,180,185,177.5,187.5,7,-2605.0,-1327.5
1767086077.5759637,BASELINE,BUY,100,95,100,92.5,102.5,8,-2705.0,-1925.0
1767086077.5779634,BASELINE,BUY,220,215,220,212.5,222.5,9,-2925.0,-967.5
1767086077.57996,BASELINE,BUY,490,485,490,482.5,492.5,10,-3415.0,1460.0
1767086278.9785855,BASELINE,BUY,155,150,155,147.5,157.5,1,-155.0,-2.5
1767086279.006291,BASELINE,BUY,440,435,440,432.5,442.5,2,-595.0,280.0
1767086279.0092921,BASELINE,BUY,535,530,535,527.5,537.5,3,-1130.0,467.5
1767086279.012945,BASELINE,BUY,100,95,100,92.5,102.5,4,-1230.0,-840.0
1767086279.0182984,BASELINE,BUY,110,105,110,102.5,112.5,5,-1340.0,-802.5
1767086279.020981,BASELINE,BUY,135,130,135,127.5,137.5,6,-1475.0,-680.0
1767086279.0244498,BASELINE,BUY,180,175,180,172.5,182.5,7,-1655.0,-412.5
1767086279.0284414,BASELINE,BUY,100,95,100,92.5,102.5,8,-1755.0,-975.0
1767086279.0326402,BASELINE,BUY,225,220,225,217.5,227.5,9,-1980.0,22.5
1767086279.0404887,BASELINE,BUY,490,485,490,482.5,492.5,10,-2470.0,2405.0
1767086926.496797,BASELINE,BUY,330,325,330,322.5,332.5,1,-330.0,-2.5
1767086926.4999616,BASELINE,BUY,125,120,125,117.5,127.5,2,-455.0,-210.0
1767086926.5039597,BASELINE,BUY,320,315,320,312.5,322.5,3,-775.0,177.5
1767086926.5069575,BASELINE,BUY,100,95,100,92.5,102.5,4,-875.0,-485.0
1767086926.5109472,BASELINE,BUY,270,265,270,262.5,272.5,5,-1145.0,192.5
1767086926.513941,BASELINE,BUY,165,160,165,157.5,167.5,6,-1310.0,-335.0
1767086926.5159998,BASELINE,BUY,625,620,625,617.5,627.5,7,-1935.0,2422.5
1767086926.5159998,BASELINE,BUY,1395,1390,1395,1387.5,1397.5,8,-3330.0,7810.0
1767086926.5159998,BASELINE,BUY,385,380,385,377.5,387.5,9,-3715.0,-272.5
1767086926.5159998,BASELINE,BUY,520,515,520,512.5,522.5,10,-4235.0,940.0
